Date,mag,lon,lat,depth
7/18/1996,4.5,88.1868,30.2932,37
7/22/1996,4.5,88.0654,30.1883,37
7/22/1996,3.8,88.0367,30.0731,37
7/23/1996,4,87.8622,31.3809,35
7/24/1996,3.9,87.8114,31.3881,35
7/31/1996,5,88.1921,30.0624,37
7/31/1996,4,88.0979,30.4096,41
8/7/1996,3.9,88.0378,30.223,37
8/7/1996,3.7,88.1701,30.0781,37
8/23/1996,3.9,88.1284,30.022,37
9/17/1996,4.1,81.6896,30.045,35
10/3/1996,4.3,87.4286,28.186,51.7
10/13/1996,4,86.8306,28.5074,50
11/4/1996,4.3,81.6339,29.1977,27
11/7/1996,3.7,88.0744,30.0705,37
11/8/1996,4.1,81.4302,29.2774,27
11/23/1996,3.7,88.0087,30.5933,41
11/26/1996,3.9,83.1133,30.649,35
12/22/1996,3.6,81.5369,28.79,35
12/29/1996,4.1,81.5272,29.5847,27
12/30/1996,5,86.7369,27.418,25
12/30/1996,3.7,86.5443,27.1768,35
1/3/1997,3.9,81.5934,29.2853,27
1/5/1997,5.5,80.6116,29.8171,24.2
1/5/1997,4,80.4895,29.6778,19
1/8/1997,4,80.4209,31.366,35
1/8/1997,3.7,87.9368,30.0852,41
1/16/1997,4.4,85.0311,31.5504,35
1/16/1997,3.8,85.3414,31.6786,35
1/25/1997,4.3,88.0095,30.1225,37
1/31/1997,5.2,85.2138,28.0508,13.8
1/31/1997,4.3,85.1189,28.02,12
1/31/1997,3.8,85.0189,27.944,12
2/1/1997,4.1,84.9831,27.9429,12
2/3/1997,4.3,85.0902,27.8234,18.6
2/3/1997,3.9,85.1387,27.9036,19.8
3/3/1997,4.5,86.1568,27.1615,43.9
3/22/1997,4.1,88.0278,29.8973,37
3/24/1997,4.5,85.0475,27.8778,12
4/5/1997,4.4,86.0503,30.0536,35
4/7/1997,4.2,86.5815,27.4865,35
5/2/1997,3.9,80.4144,29.3591,19
5/26/1997,3.6,86.893,27.6618,35
7/5/1997,4,87.0457,28.8958,35
8/16/1997,3.8,86.1625,29.9616,35
8/17/1997,3.9,87.5681,28.1202,68
9/13/1997,4,88.1919,29.9825,37
9/13/1997,3.9,88.0359,29.9881,35
9/15/1997,3.9,88.0752,30.0462,37
9/17/1997,4,83.5769,29.6046,35
9/18/1997,4.4,88.1235,28.6943,35
10/5/1997,3.9,88.1578,30.5473,41
10/11/1997,4.1,86.1436,27.6726,19
10/24/1997,4.8,82.3231,28.5047,35
11/3/1997,5.4,85.385,29.0365,10
11/4/1997,4.1,85.3461,28.8443,35
11/14/1997,3.7,88.1691,30.1185,38
11/19/1997,4,82.9541,31.9707,35
