Date,Magnitude,Longitude,Latitude,Depth
9/12/1999 9:00,4.4,77.8409,31.0343,10
9/18/1999 16:30,4.1,76.1073,32.9881,28
11/8/1999 21:45,4.3,77.2503,31.308,11
1/8/2000 2:21,4.6,78.4739,34.6124,35
2/22/2000 20:53,3.7,77.0156,31.2602,12.8
4/11/2000 18:12,3.8,78.8223,32.0496,65.4
4/28/2000 0:17,4.3,78.2905,31.5753,38
5/4/2000 2:00,4,79.9815,29.9439,16
5/19/2000 9:41,3.7,78.7663,33.5266,35
6/17/2000 2:47,3.9,79.5723,32.8592,35
6/17/2000 16:34,4.9,78.4146,31.9166,12
6/18/2000 8:05,3.8,78.4199,32.0421,57.3
6/19/2000 22:41,5.2,77.4391,35.1862,24.4
6/21/2000 16:11,3.6,79.129,30.4407,24
7/4/2000 8:10,4,78.3284,32.0101,58.4
7/5/2000 5:56,4.4,79.9642,34.2941,35
7/5/2000 18:47,3.8,79.9424,34.1946,35
7/5/2000 18:50,4.7,79.9545,34.0282,10
7/5/2000 21:59,4.4,79.9211,34.2332,16
7/7/2000 16:14,4.6,79.8141,34.1577,10
7/9/2000 21:03,3.8,79.8272,33.9487,35
7/14/2000 20:26,4,79.5599,34.845,35
8/7/2000 8:09,3.7,79.7602,34.2614,10
8/9/2000 21:02,3.8,79.4009,34.088,35
8/31/2000 2:08,4.5,78.3971,32.0296,17.4
8/31/2000 2:17,4,78.5845,31.9478,8
9/13/2000 14:43,3.9,77.571,31.6368,5
9/26/2000 7:22,4.4,78.2585,30.8318,28.1
9/30/2000 21:48,3.7,76.3696,33.3128,35
10/12/2000 0:07,4,78.3521,32.6844,13
10/13/2000 2:38,4.1,76.3379,32.697,15
11/16/2000 13:43,3.7,76.2678,32.8316,15
11/16/2000 13:45,4,76.4374,33.0454,35
11/16/2000 17:55,3.8,76.5243,32.9592,15
11/22/2000 8:40,4,77.9624,31.0658,33.8
11/27/2000 3:20,3.7,79.5288,30.3363,17
12/26/2000 5:37,4,76.6002,32.3159,14
1/17/2001 9:22,3.8,79.8295,34.1386,35
1/18/2001 17:33,3.7,79.9235,33.9827,35
1/25/2001 0:39,3.8,76.0112,33.1172,8.9
1/30/2001 14:50,3.6,76.3319,32.9087,12
2/9/2001 13:24,3.9,79.8002,34.1121,35
2/20/2001 8:42,4.1,78.1957,30.9662,6.8
2/23/2001 22:54,4.2,78.2079,31.0848,19.2
3/12/2001 11:34,4.1,79.1328,30.4599,40
4/25/2001 18:28,3.9,76.6232,32.7706,13.1
6/1/2001 19:11,3.7,77.63,31.6806,0.4
